ensembl_gene_id,study,ASD_DEUp_Voineagu,ASD_DEDown_Voineagu,ASD_CoexDown_M12_Voineagu,ASD_CoexUp_M16_Voineagu,ASD_CoexDown_M1_Gupta,ASD_CoexUp_M6_Gupta,ASD_CoexUp_M5_Gupta,Up,Down
ENSG00000092096,Voineagu,0,0,1,0,NA,NA,NA,NA,NA
ENSG00000172638,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000110697,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000154478,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000114268,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000213015,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000258839,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000169718,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000131437,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000260770,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000117620,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000106443,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000188290,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000160678,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000012171,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000136891,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000185347,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000099624,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000104756,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000036257,Voineagu,0,0,1,0,NA,NA,NA,NA,NA
ENSG00000259919,Voineagu,0,0,1,0,NA,NA,NA,NA,NA
ENSG00000172725,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000100575,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000158552,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000100146,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000140992,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000072609,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000010803,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000165995,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000099875,Voineagu,1,0,0,0,NA,NA,NA,NA,NA
ENSG00000006210,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000102981,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000171552,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000164919,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000108852,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000162104,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000126767,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000076201,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000069849,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000070759,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000196372,Voineagu,0,1,1,0,NA,NA,NA,NA,NA
ENSG00000143344,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000077522,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000100348,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000134940,Voineagu,0,0,1,0,NA,NA,NA,NA,NA
ENSG00000206445,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000133997,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000261230,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000102738,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000226704,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000130475,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000153922,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000177108,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000138642,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000262742,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000069998,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000119401,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000100412,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000086598,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000168077,Voineagu,0,0,0,1,NA,NA,NA,NA,NA
ENSG00000167114,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000102898,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000157796,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000134744,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000011304,Voineagu,0,0,0,1,NA,NA,NA,NA,NA
ENSG00000102572,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000134758,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000058729,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000175110,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000126247,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000265681,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000109079,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000140391,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
